MOIS	DATE DE LIVRAISON	TICKET	DETAILS	REPARTITION	HEURE DE TRAVAIL	STATUT	LIVRABLE	INTERVENANT	SEVERITE
SEPTEMBRE	01/09/2026	Re-crawl de contrôle indexation	Relancer le crawl en 1 thread et 1 URL par seconde, user-agent Googlebot Smartphone, puis confronter chaque statut à l'inspection d'URL de la Search Console sur 10 URL témoin. L'extraction du 20/05 classe environ 250 URL en erreur client alors que certaines se positionnent de la 4e à la 8e place : les deux ne peuvent pas être vrais. Ce ticket conditionne la lecture des sept autres. Fini quand : nouvel export d'indexation daté, écart crawl / Search Console expliqué ligne à ligne, ancien onglet renommé « z · Indexation 05-2026 (ancien) ».	SEO MONKEY	3.0	EN COURS	Controle indexation Eoleaf|https://docs.google.com/spreadsheets/d/1b_tVRfcWzqweKpb5L30yiDJtstaU5D82CE6gUWNYrEo/edit	Nicolas	bloque
SEPTEMBRE	01/09/2026	Canonique des fiches produit	Retenir une seule forme d'URL indexable par produit, poser la canonique autoréférente dessus et aligner les liens internes. Les pages indexées sont en /fr/products/ alors que l'onglet « Tableau de balisage » prépare les titles sur les URL en /fr/collections/.../products/ : intégré en l'état, ce balisage se pose à côté des pages qui rankent. Fini quand : une seule URL par produit répond 200 sans redirection, canonique autoréférente, et l'onglet « Tableau de balisage » corrigé avant intégration.	SEO MONKEY	2.0	A FAIRE	Canonique fiches produit Eoleaf|https://docs.google.com/spreadsheets/d/1-n0jKORE6XE_sI7gnLOe5n5orXDtGtnIVFIc24ttoHs/edit	Nicolas	bloque
SEPTEMBRE	08/09/2026	Lien FAQ vers un formulaire SAV mort	Poser une 301 de /fr/pages/formulaire-apres-vente vers /fr/pages/formulaire-sav et corriger le lien depuis /fr/pages/faqs. Périmètre réduit par le contrôle Search Console du 04/09 : les pages contact FR, EN et DE sont indexées et saines, la FR est même en position 2,2 avec 477 impressions. Le crawl du 20/05 les déclarait en erreur à tort. Seule l'URL formulaire-apres-vente est réellement morte. Fini quand : /fr/pages/formulaire-apres-vente répond 301 vers formulaire-sav, et la FAQ pointe directement vers l'URL vivante.	EOLEAF	0.5	A FAIRE	Contact et SAV 12 langues Eoleaf|https://docs.google.com/spreadsheets/d/1Xbtiqi8qqxckCMM9tamEXibKGKJnycpl10XoOnbg_0Q/edit	Eoleaf	bloque
SEPTEMBRE	08/09/2026	36 pages EN sous le préfixe /fr	Rediriger en 301 les 36 URL anglaises servies sous /fr : vers la page FR équivalente quand elle existe, sinon vers l'URL anglaise à la racine. Défaut de l'application de traduction : la page existe en double et Google reçoit de l'anglais sur une URL déclarée française. Trois anciennes fiches AEROPRO sont dans le lot. Fini quand : les 36 URL répondent 301 en un saut vers la bonne cible, et aucune ne figure plus au sitemap.	SEO MONKEY + EOLEAF	4.0	A FAIRE	Pages EN sous prefixe fr Eoleaf|https://docs.google.com/spreadsheets/d/1dzRHnQFaMkPXW3hvyO_A8-x0JwlwhUAi7MEY7giwvao/edit	Nicolas / Eoleaf	bloque
SEPTEMBRE	15/09/2026	Cannibalisation : 14 clusters FR	Désigner un pilier par cluster, fusionner les doublons d'intention dans ce pilier puis poser les 301. L'onglet sémantique en porte la preuve : « purificateur d'air voiture » est planifié sur 3 URL, « purificateur d'air chambre » sur 2, « allergie chat » sur 2, « fumée de cigarette » sur 2. Le cluster dentaire compte 3 pages sur la même intention, le cluster tabac 5. Fini quand : un seul pilier par cluster, contenu utile remonté avant la 301, aucune page en top 3 touchée.	SEO MONKEY	5.0	A FAIRE	Cannibalisation clusters FR Eoleaf|https://docs.google.com/spreadsheets/d/1KzD2Mf-ugn3jPmKIFoYTrXalEtu1VyeoZof5pAkUwyc/edit	Jordan / Nicolas	bloque
SEPTEMBRE	22/09/2026	33 liens internes rompus	Corriger les 33 lignes encore marquées « Réglé ? = FALSE » dans le fichier existant, alors que le ticket est déclaré intégré au 14/08. Deux cibles mortes reviennent sur les 12 langues. La colonne « Newlink » porte déjà la cible de remplacement : il n'y a pas de mapping à refaire. Fini quand : zéro ligne FALSE, et les 38 liens répondent 200 en un seul saut.	EOLEAF	2.0	A FAIRE	liens internes rompus|https://docs.google.com/spreadsheets/d/1c7_Bu5rdkz9TmV9wHW_I_RJsEEtkrmIMETtDe1oxpRM/edit	Eoleaf	freine
SEPTEMBRE	22/09/2026	H1 manquants sur 5 gabarits	Poser un H1 unique sur les gabarits qui en sont dépourvus : collection, institutionnel, page métier, comparatif et FAQ. 18 H1 manquants et 12 trop longs relevés, mais 5 corrections de gabarit Shopify suffisent et traitent les 12 langues d'un seul geste. Les H1 sont déjà rédigés dans le livrable. Fini quand : un H1 et un seul par page, de 20 à 70 caractères, contenant l'expression cible, et zéro statut « Manquant » au re-crawl.	SEO MONKEY + EOLEAF	4.0	A FAIRE	H1 manquants Eoleaf|https://docs.google.com/spreadsheets/d/1Q6k2HwvNLGqNTloPdjTfgDheWMCL3vIJxo4OL5BJNTE/edit	Jordan / Eoleaf	freine
SEPTEMBRE	29/09/2026	Images des gabarits d'achat	Convertir en webp et recompresser les images de l'accueil, de la collection et de la fiche produit, puis renseigner les ALT. 334 images pour 91,3 Mo, 64 au-delà de 200 Ko, 36 au-delà de 500 Ko, 99 PNG, aucun webp, et 192 ALT vides sur 334. Les plus lourdes sont des visuels de fiche produit, entre 2,7 et 3,6 Mo. Les ALT sont déjà rédigés dans le livrable. Fini quand : aucune image servie au-delà de 200 Ko sur ces trois gabarits, largeur servie ≤ 1500 px, zéro ALT vide, LCP mobile de la fiche produit sous 2,5 s.	SEO MONKEY + EOLEAF	6.0	A FAIRE	Images a corriger Eoleaf|https://docs.google.com/spreadsheets/d/154aIMHSG_lqUWNOCfNlvgo9ZNHlvUESCsTherEkdcFE/edit	Jordan / Eoleaf	freine
OCTOBRE	06/10/2026	Hreflang sur 12 langues	Contrôler le jeu hreflang de chaque URL sur les 12 versions : réciprocité, autoréférence, x-default. Volet jamais audité, alors que le multilingue produit déjà du trafic (« rökare » en suédois, position 16). Fini quand : chaque URL porte le jeu complet et réciproque plus x-default, et zéro page en langue étrangère sous /fr.	SEO MONKEY	4.0	A FAIRE	Hreflang 12 langues Eoleaf|https://docs.google.com/spreadsheets/d/1MBkbFcXU3orsOy2sg8G5fAnB_hZEP6B-8hDDubPj__8/edit	Nicolas	freine
OCTOBRE	06/10/2026	Redirections des anciennes URL AEROPRO	Poser les 301 des anciennes URL produit AEROPRO 40, 100 et 150 vers les fiches NeoPur 400, TeraPur 600 et AltaPur 700. Ces URL circulent encore et reçoivent des liens internes : sans 301, l'autorité est perdue et le visiteur tombe sur une page morte. Fini quand : chaque ancienne URL répond 301 en un saut vers la fiche du modèle actuel.	EOLEAF	1.0	A FAIRE	Redirections AEROPRO Eoleaf|https://docs.google.com/spreadsheets/d/1WntNwaXwSKQvZTx6WlzFb1HHujttU6rBjMG_choz6sA/edit	Eoleaf	freine
