CLUSTER,REQUETE PRINCIPALE,VOLUME,URL,POSITION CONNUE,ROLE PROPOSE,DECISION,STATUT
"Important ⚠️ : quand deux pages visent la même intention, Google en choisit une et dilue les deux. L'onglet sémantique en porte la preuve : « purificateur d'air voiture » y est planifié sur 3 URL différentes, « purificateur d'air chambre » sur 2, « purificateur d'air allergie chat » sur 2, « aspirateur de fumée de cigarette » sur 2. Un pilier par cluster, le reste fusionne ou redirige.",,,,,,,
Voiture,purificateur d'air voiture,210,/fr/collections/purificateur-air-voiture-pure-car,non relevée,Catégorie : reste la porte d'entrée commerciale,Conserver,A FAIRE
Voiture,purificateur d'air voiture,210,/fr/products/purificateur-air-purcar,20,Fiche produit : unité d'achat,Conserver,A FAIRE
Voiture,purificateur d'air voiture,210,/fr/pages/acheter-un-purificateur-dair-pour-la-voiture,5,PILIER de cluster,Conserver et lier vers la fiche PurCar,A FAIRE
Voiture,purificateur d'air voiture,210,/fr/pages/installer-un-purificateur-dair-dans-votre-voiture,16,Doublon d'intention,Fusionner dans le pilier puis 301,A FAIRE
Chambre et sommeil,purificateur d air chambre,170,/fr/pages/acheter-un-purificateur-dair-pour-votre-chambre,7,PILIER de cluster,Conserver,A FAIRE
Chambre et sommeil,purificateur d'air chambre,170,/fr/pages/dormez-mieux-en-installant-un-purificateur-dair-dans-votre-chambre,7,Doublon d'intention,Fusionner dans le pilier puis 301,A FAIRE
Chambre et sommeil,purificateur d'air pour dormir,non relevé,/fr/pages/acheter-un-purificateur-dair-pour-dormir,non relevée,Doublon d'intention,Fusionner dans le pilier puis 301,A FAIRE
Allergies animaux,purificateur d'air allergie chat,140,/fr/pages/acheter-un-purificateur-dair-pour-les-allergies-aux-animaux-de-compagnie,13,PILIER de cluster,Conserver,A FAIRE
Allergies animaux,purificateur d'air allergie chat,140,/fr/pages/comment-un-purificateur-dair-peut-aider-avec-les-allergies-aux-animaux,19,Doublon d'intention,Fusionner dans le pilier puis 301,A FAIRE
Allergies animaux,purificateur d'air animaux,110,/fr/pages/comment-eliminer-les-odeurs-danimaux-de-votre-maison,5,Question satellite : conserver,Conserver et lier vers le pilier,A FAIRE
Allergies animaux,URL cassée,non applicable,/fr/pages/acheter-un-purificateur-dair-pour-les-allergies-aux-animaux-de-compagnie=,non applicable,Signe égal parasite dans un lien interne,Corriger le lien source puis 301,A FAIRE
Fumée de tabac,aspirateur fumée cigarette,390,/fr/pages/acheter-un-purificateur-dair-pour-la-fumee-de-cigarettes,5,PILIER de cluster,Conserver,A FAIRE
Fumée de tabac,aspirateur de fumée de cigarette,260,/fr/pages/acheter-un-purificateur-dair-contre-la-fumee-de-cigare,20,Doublon d'intention,Fusionner dans le pilier puis 301,A FAIRE
Fumée de tabac,fumée cigare,non relevé,/fr/pages/acheter-un-purificateur-dair-pour-la-fumee-de-cigare,non relevée,Doublon du doublon : deux slugs pour le cigare,Fusionner dans le pilier puis 301,A FAIRE
Fumée de tabac,protéger ses poumons,non relevé,/fr/pages/utiliser-un-purificateur-dair-pour-proteger-vos-poumons-de-la-fumee-de-cigarette,non relevée,Doublon d'intention,Fusionner dans le pilier puis 301,A FAIRE
Fumée de tabac,fumée cigarette,260,/fr/pages/comment-le-tabagisme-contribue-a-la-pollution-de-lair,6,Question satellite : conserver,Conserver et lier vers le pilier,A FAIRE
Dentaire,purificateur d'air dentiste,non relevé,/fr/pages/acheter-un-purificateur-dair-pour-les-cabinets-dentaires,non relevée,PILIER de cluster,Conserver,A FAIRE
